,body_bytes_sent,request_length,request_time,upstream_response_time,network_receive_bytes_per_second,network_transmit_bytes_per_second,DELETE,GET,POST,PUT,available_request,error_request,HTTP/1.0,HTTP/1.1,valid_user_agent,supicious_user_agent,cluster_kmeans
35,89,231,0.01,0.01,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
36,85,227,0.009,0.009,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
37,90,232,0.013,0.013,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
38,95,237,0.01,0.009,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
39,8704,150,0.009,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
40,8704,150,0.009,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
41,2,209,0.008,0.007,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
42,94,236,0.013,0.012,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
43,8709,150,0.007,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
44,8709,150,0.007,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
45,84,282,0.012,0.013,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
46,97,295,0.009,0.01,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
47,8708,150,0.006,0.006,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
48,8709,150,0.008,0.008,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
49,89,287,0.015,0.015,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
50,8708,150,0.005,0.005,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
51,2,209,0.007,0.008,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
52,8618,150,0.01,0.01,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
53,94,236,0.016,0.016,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
54,2,209,0.011,0.011,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
55,8623,150,0.009,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
56,87,229,0.01,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
57,8711,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
58,86,284,0.011,0.011,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
59,8712,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
60,88,286,0.016,0.017,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
61,8713,150,0.016,0.016,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
62,2,209,0.011,0.012,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
63,8621,150,0.007,0.006,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
64,8533,150,0.007,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
65,2,209,0.007,0.007,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
66,8532,150,0.01,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
67,85,283,0.019,0.019,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
68,2,209,0.011,0.01,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
69,8443,150,0.006,0.006,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
70,2,209,0.009,0.009,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
71,8345,150,0.012,0.012,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
72,2,209,0.007,0.007,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
73,8249,150,0.009,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
74,2,209,0.009,0.009,486185.12,697731.0399999999,1,0,0,0,1,0,0,1,0,1,normal
75,95,237,0.012,0.012,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
76,8251,150,0.007,0.006,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
77,88,286,0.011,0.012,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
78,8252,150,0.009,0.01,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
79,8252,150,0.013,0.014,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
80,97,295,0.012,0.012,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
81,8251,150,0.008,0.007,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
82,86,284,0.008,0.007,486185.12,697731.0399999999,0,0,0,1,1,0,0,1,0,1,normal
83,89,231,0.01,0.011,486185.12,697731.0399999999,0,0,1,0,1,0,0,1,0,1,normal
84,8340,150,0.01,0.009,486185.12,697731.0399999999,0,1,0,0,1,0,0,1,0,1,normal
85,89,287,0.014,0.013,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
86,8339,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
87,88,286,0.012,0.012,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
88,8340,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
89,8340,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
90,8340,150,0.006,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
91,85,283,0.013,0.012,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
92,8339,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
93,2,209,0.007,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
94,8239,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
95,90,232,0.016,0.016,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
96,2,209,0.009,0.01,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
97,8243,150,0.013,0.014,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
98,85,283,0.009,0.009,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
99,8244,150,0.011,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
100,8244,150,0.012,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
101,2,209,0.012,0.012,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
102,8155,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
103,90,288,0.013,0.013,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
104,8156,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
105,8156,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
106,2,209,0.008,0.007,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
107,8065,150,0.007,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
108,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
109,7977,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
110,85,283,0.01,0.009,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
111,7976,150,0.009,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
112,7976,150,0.015,0.015,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
113,88,286,0.012,0.012,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
114,101,299,0.011,0.011,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
115,94,236,0.011,0.012,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
116,87,229,0.011,0.01,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
117,8159,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
118,8159,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
119,88,286,0.011,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
120,8160,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
121,8160,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
122,8160,150,0.017,0.018,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
123,101,299,0.011,0.011,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
124,89,231,0.009,0.008,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
125,8249,150,0.01,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
126,87,285,0.009,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
127,87,229,0.015,0.015,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
128,8336,150,0.016,0.016,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
129,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
130,8247,150,0.014,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
131,8336,150,0.016,0.016,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
132,8247,150,0.014,0.015,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
133,2,209,0.011,0.012,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
134,88,286,0.015,0.015,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
135,8160,150,0.024,0.024,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
136,8160,150,0.013,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
137,96,238,0.023,0.024,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
138,98,296,0.025,0.024,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
139,8258,150,0.021,0.022,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
140,99,297,0.015,0.015,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
141,8259,150,0.006,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
142,8258,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
143,94,292,0.023,0.022,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
144,8260,150,0.009,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
145,8260,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
146,8260,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
147,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
148,2,209,0.052,0.052,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
149,8085,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
150,8085,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
151,2,209,0.009,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
152,7999,150,0.008,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
153,7999,150,0.013,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
154,2,209,0.013,0.013,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
155,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
156,7812,150,0.009,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
157,86,228,0.01,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
158,87,229,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
159,7987,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
160,100,242,0.016,0.015,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
161,2,209,0.009,0.009,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
162,8001,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
163,2,209,0.008,0.009,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
164,87,229,0.011,0.012,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
165,8000,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
166,2,209,0.006,0.006,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
167,7913,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
168,7913,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
169,2,209,0.007,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
170,7825,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
171,86,284,0.009,0.008,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
172,7824,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
173,86,228,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
174,90,232,0.013,0.012,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
175,90,232,0.01,0.009,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
176,8093,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
177,93,291,0.009,0.009,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
178,88,230,0.008,0.009,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
179,8181,150,0.013,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
180,8181,150,0.014,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
181,2,209,0.012,0.012,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
182,8082,150,0.012,0.012,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
183,2,209,0.031,0.031,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
184,2,209,0.011,0.011,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
185,7893,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
186,85,283,0.009,0.008,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
187,7892,150,0.01,0.011,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
188,87,229,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
189,7980,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
190,99,297,0.011,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
191,7979,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
192,95,237,0.014,0.014,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
193,8075,150,0.006,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
194,2,209,0.013,0.013,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
195,7983,150,0.007,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
196,2,209,0.008,0.007,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
197,7888,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
198,7888,150,0.011,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
199,7888,150,0.013,0.014,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
200,93,291,0.02,0.019,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
201,7887,150,0.015,0.015,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
202,7887,150,0.025,0.025,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
203,86,284,0.021,0.021,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
204,86,284,0.02,0.02,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
205,86,228,0.011,0.01,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
206,7974,150,0.009,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
207,89,287,0.011,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
208,7973,150,0.009,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
209,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
210,7885,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
211,7885,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
212,2,209,0.009,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
213,7795,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
214,2,209,0.009,0.01,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
215,7706,150,0.012,0.011,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
216,100,298,0.014,0.014,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
217,7705,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
218,89,287,0.014,0.014,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
219,7704,150,0.012,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
220,7704,150,0.01,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
221,94,292,0.028,0.028,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
222,86,284,0.021,0.021,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
223,87,229,0.023,0.023,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
224,7790,150,0.01,0.011,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
225,7790,150,0.009,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
226,87,285,0.014,0.014,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
227,7789,150,0.007,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
228,7789,150,0.01,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
229,97,239,0.012,0.012,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
230,7887,150,0.007,0.006,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
231,2,209,0.008,0.008,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
232,7801,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
233,85,283,0.01,0.009,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
234,101,243,0.016,0.016,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
235,98,240,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
236,8001,150,0.008,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
237,86,284,0.009,0.009,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
238,8000,150,0.02,0.02,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
239,2,209,0.011,0.01,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
240,7904,150,0.011,0.012,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
241,93,291,0.013,0.014,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
242,7903,150,0.01,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
243,2,209,0.012,0.012,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
244,7805,150,0.006,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
245,7805,150,0.009,0.01,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
246,100,298,0.01,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
247,7804,150,0.006,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
248,2,209,0.008,0.007,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
249,88,230,0.01,0.009,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
250,86,228,0.024,0.024,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
251,87,229,0.02,0.021,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
252,7972,150,0.02,0.019,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
253,86,284,0.013,0.014,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
254,7973,150,0.013,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
255,86,284,0.02,0.02,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
256,7972,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
257,7972,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
258,2,209,0.069,0.07,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
259,90,232,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
260,7973,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
261,2,209,0.009,0.009,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
262,100,242,0.015,0.014,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
263,7985,150,0.011,0.011,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
264,98,296,0.013,0.013,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
265,7984,150,0.008,0.009,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
266,7983,150,0.013,0.013,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
267,96,294,0.024,0.023,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
268,2,209,0.013,0.013,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
269,7882,150,0.017,0.016,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
270,7883,150,0.016,0.015,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
271,87,229,0.013,0.014,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
272,7971,150,0.03,0.029,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
273,100,298,0.109,0.109,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
274,89,231,0.083,0.082,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
275,2,209,0.02,0.02,513230.88,730569.6,1,0,0,0,1,0,0,1,0,1,normal
276,93,235,0.011,0.011,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
277,8061,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
278,94,292,0.011,0.011,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
279,87,229,0.013,0.014,513230.88,730569.6,0,0,1,0,1,0,0,1,0,1,normal
280,8148,150,0.009,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
281,88,286,0.01,0.01,513230.88,730569.6,0,0,0,1,1,0,0,1,0,1,normal
282,8149,150,0.007,0.007,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
283,8062,150,0.008,0.008,513230.88,730569.6,0,1,0,0,1,0,0,1,0,1,normal
